YML021C	UNG1	S000004483	C	mitochondrion	5739	ORF|Verified
YMR104C	YPK2	S000004710	F	protein kinase activity	4672	ORF|Verified
YMR104C	YPK2	S000004710	P	protein modification	6464	ORF|Verified
YMR104C	YPK2	S000004710	C	nucleus	5634	ORF|Verified
YMR104C	YPK2	S000004710	C	cytoplasm	5737	ORF|Verified
YNL312W	RFA2	S000005256	F	DNA binding	3677	ORF|Verified
YNL312W	RFA2	S000005256	P	DNA metabolism	6259	ORF|Verified
YNL312W	RFA2	S000005256	C	chromosome	5694	ORF|Verified
YBR052C		S000000256	F	molecular_function unknown	5554	ORF|Uncharacterized
YBR052C		S000000256	P	biological_process unknown	4	ORF|Uncharacterized
YBR052C		S000000256	C	cytoplasm	5737	ORF|Uncharacterized
YBL035C	POL12	S000000131	F	nucleotidyltransferase activity	16779	ORF|Verified
YBL035C	POL12	S000000131	P	DNA metabolism	6259	ORF|Verified
YBL035C	POL12	S000000131	C	nucleus	5634	ORF|Verified
YNL313C		S000005257	F	molecular_function unknown	5554	ORF|Uncharacterized
YNL313C		S000005257	P	nuclear organization and biogenesis	6997	ORF|Uncharacterized
YNL313C		S000005257	C	nucleus	5634	ORF|Uncharacterized
YNL313C		S000005257	C	cytoplasm	5737	ORF|Uncharacterized
YBR118W	TEF2	S000000322	F	translation regulator activity	45182	ORF|Verified
YBR118W	TEF2	S000000322	P	protein biosynthesis	6412	ORF|Verified
YBR118W	TEF2	S000000322	C	ribosome	5840	ORF|Verified
YMR105C	PGM2	S000004711	F	isomerase activity	16853	ORF|Verified
YMR105C	PGM2	S000004711	P	carbohydrate metabolism	5975	ORF|Verified
YMR105C	PGM2	S000004711	C	cytoplasm	5737	ORF|Verified
YBR053C		S000000257	F	molecular_function unknown	5554	ORF|Uncharacterized
YBR053C		S000000257	P	biological_process unknown	4	ORF|Uncharacterized
YBR053C		S000000257	C	cellular_component unknown	8372	ORF|Uncharacterized
YBL036C		S000000132	F	isomerase activity	16853	ORF|Verified
YBL036C		S000000132	P	amino acid and derivative metabolism	6519	ORF|Verified
YML022W	APT1	S000004484	F	transferase activity	16740	ORF|Verified
YML022W	APT1	S000004484	C	cytoplasm	5737	ORF|Verified
YML022W	APT1	S000004484	C	nucleus	5634	ORF|Verified
